Title,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Directed by,Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float)
Garbage Dreams,Mai Iskander,Mai Iskander,United States,79,2009-04-03,,,,,,,,,,,,
Sweetgrass,Ilisa Barbash,Lucien Castaing- Taylor,United States,101,2009-02-04,Lucien Castaing-Taylor,Cinema Guild,English,,,,,,,,,
Daybreakers,"['Chris Brown', 'Sean Furst', 'Bryan Furst']",Ben Nott,,98,2009-09-11,The Spierig Brothers,Hoyts Distribution,English,The Spierig Brothers,"['Ethan Hawke', 'Willem Dafoe', 'Claudia Karvan', 'Michael Dorman', 'Sam Neill', 'Vince Colosimo', 'Isabel Lucas']",Matt Villa,Christopher Gordon,"['Lionsgate', 'Screen Australia', 'Pictures in Paradise', 'Film Finance Corporation Australia', 'Pacific Film & Television Commission', 'Furst Films']",,,20000000.0,51400000.0
Leap Year,"['Gary Barber', 'Chris Bender', 'Roger Birnbaum', 'Jonathan Glickman', 'Jake Weiner']",Newton Thomas Sigel,,100,2010-01-06,Anand Tucker,"['Universal Pictures (United States)', 'Optimum Releasing (United Kingdom and Ireland)']",English,"['Harry Elfont', 'Deborah Kaplan']","['Amy Adams', 'Matthew Goode', 'Adam Scott', 'John Lithgow']",Nick Moore,Randy Edelman,Spyglass Entertainment,,,19000000.0,32600000.0
Youth in Revolt,David Permut,Chuy Chávez,United States,89,2009-10-19,Miguel Arteta,Dimension Films,English,Gustin Nash,"['Michael Cera', 'Portia Doubleday', 'Jean Smart', 'Mary Kay Place', 'Justin Long', 'Fred Willard', 'Ray Liotta', 'Steve Buscemi']",Pamela Martin,John Swihart,"['Permut', 'Shangri-La Entertainment']","['Youth in Revolt', 'C.D. Payne']",,18000000.0,19700000.0
Bitch Slap,Eric Gruendemann Rick Jacobson,Stuart Asbjornsen,United States,109,2009-09-14,Rick Jacobson,"['Freestyle Releasing', 'IM Global', 'Summit Entertainment']",English,Rick Jacobson Eric Gruendemann,"['Julia Voth', 'Erin Cummings', 'America Olivo', 'William Gregory Lee', 'Minae Noji', 'Michael Hurst']",Joe McFadden Corey Yaktus,John R. Graham,Epic Slap,,,,514537.0
Crazy on the Outside,"['Brian Reilly', 'Brett Gregory', 'Anastasia Stanecki']",Robbie Greenberg,United States,96,2010-01-08,Tim Allen,Freestyle Releasing,English,"['Judd Pillot', 'John Peaslee']","['Tim Allen', 'Sigourney Weaver', 'Jeanne Tripplehorn', 'J. K. Simmons', 'Julie Bowen', 'Kelsey Grammer', 'Ray Liotta']",Scott Conrad,David Newman,Boxing Cat Films,,,,88335.0
Waiting for Armageddon,Franco Sacchi David Heilbroner,,United States,74,2009-01-28,"['Kate Davis', 'Franco Sacchi']",Q-Ball Productions Inc Eureka Film Productions LLC,English,,,,Gary Lionelli,,,,,
Wonderful World,Matthew Leutwyler,Daniel Shulman,United States,89,2009-04-27,Joshua Goldin,Magnolia Pictures,English,Joshua Goldin,"['Matthew Broderick', 'Sanaa Lathan', 'Michael K. Williams', 'Jodelle Ferland', 'Jesse Tyler Ferguson', 'Ally Walker', 'Philip Baker Hall']",Jeff Canavan,Craig Richey,"['Ambush Entertainment', 'Back Lot Pictures', 'Cold Iron Pictures']",,,3000000.0,9309.0
The Book of Eli,"['Joel Silver', 'Denzel Washington', 'Broderick Johnson', 'Andrew A. Kosove', 'David Valdes']",Don Burgess,United States,118,2010-01-15,The Hughes Brothers,"['Warner Bros. Pictures', 'Summit Entertainment']",English,Gary Whitta,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals', 'Frances de la Tour', 'Michael Gambon']",Cindy Mollo,"['Atticus Ross', 'Leopold Ross', 'Claudia Sarne']","['Alcon Entertainment', 'Silver Pictures']",,,80000000.0,157100000.0
The Spy Next Door,Robert Simonds,Dean Cundey,United States,94,2009-12-22,Brian Levant,"['Lionsgate', 'Mandate Pictures']",English,"['Jonathan Bernstein', 'James Greer', 'Gregory Poirier']","['Jackie Chan', 'Amber Valletta', 'Madeline Carroll', 'Will Shadley', 'Magnús Scheving', 'Billy Ray Cyrus', 'George Lopez']",Lawrence Jordan,David Newman,Relativity Media,,"['Jonathan Bernstein', 'James Greer']",28000000.0,45200000.0
44 Inch Chest,Steve Golin,Daniel Landin,United Kingdom,95,2009-10-19,Malcolm Venville,Momentum Pictures,English,Louis Mellis,"['Ray Winstone', 'Ian McShane', 'John Hurt', 'Tom Wilkinson', 'Stephen Dillane', 'Joanne Whalley']",Rick Russell,Angelo Badalamenti,Anonymous Content,,,,247553.0
Fish Tank,"['Nick Laws', 'Kees Kasander']",Robbie Ryan,United Kingdom,123,2009-05-14,Andrea Arnold,Curzon Artificial Eye,English,Andrea Arnold,"['Katie Jarvis', 'Michael Fassbender', 'Kierston Wareing', 'Rebecca Griffiths', 'Harry Treadaway', 'Sydney Mary Nash']",Nicolas Chaudeurge,Steel Pulse,"['BBC Films', 'UK Film Council', 'Kasander Film Company', 'Limelight Communication', 'ContentFilm']",,,3000000.0,5900000.0
House of Numbers: Anatomy of an Epidemic,Brent Leung Ursula Rowan,Matt Coale Pouria Montazeri,United States,90,2009-06-21,Brent Leung,,English,Llewellyn Chapman,Brent Leung,Brent Leung Ursula Rowan,Joel Diamond,,,,,
Extraordinary Measures,"['Michael Shamberg', 'Stacey Sher', 'Carla Santos']",Andrew Dunn,United States,106,2010-01-22,Tom Vaughan,"['CBS Films', 'Sony Pictures Releasing International']",English,Robert Nelson Jacobs,"['Brendan Fraser', 'Harrison Ford', 'Keri Russell']",Anne V. Coates,Andrea Guerra,Double Feature Films,Geeta Anand,,31000000.0,15000000.0
Legion,"['David Lancaster', 'Michel Litvak']",John Lindley,United States,100,2010-01-22,Scott Stewart,Sony Pictures Releasing,English,"['Peter Schink', 'Scott Stewart']","['Paul Bettany', 'Lucas Black', 'Tyrese Gibson', 'Adrianne Palicki', 'Charles S. Dutton', 'Jon Tenney', 'Kevin Durand', 'Willa Holland', 'Kate Walsh', 'Dennis Quaid']",Steven Kemper,John Frizzell,"['Screen Gems', 'Bold Films']",,,26000000.0,67900000.0
Tooth Fairy,"['Mark Ciardi', 'Gordon Gray', 'Jason Blum']",David Tattersall,,101,2010-01-22,Michael Lembeck,20th Century Fox,English,"['Lowell Ganz', 'Babaloo Mandel', 'Joshua Sternin', 'Jennifer Ventimilia', 'Randi Mayem Singer']","['Dwayne Johnson', 'Ashley Judd', 'Julie Andrews']",David Finfer,George S. Clinton,"['Walden Media', 'Mayhem Pictures', 'Blumhouse Productions', 'Dune Entertainment']",,Jim Piddock,48000000.0,112500000.0
Creation,Jeremy Thomas,Jess Hall,United Kingdom,108,2009-09-25,Jon Amiel,Icon Film Distribution,English,John Collee,"['Paul Bettany', 'Jennifer Connelly', 'Jeremy Northam', 'Toby Jones', 'Benedict Cumberbatch', 'Jim Carter', 'Bill Paterson']",Melanie Oliver,Christopher Young,"['HanWay Films', 'BBC Films', 'Recorded Picture Company']",Randal Keynes,,,
The Girl on the Train,,Julien Hirsch,France,105,2009-03-18,André Téchiné,Strand Releasing,French,André Téchiné Odile Barski Jean-Marie Besset (play),"['Emilie Dequenne', 'Catherine Deneuve', 'Michel Blanc']",Martine Giordano,Philippe Sarde,,,,5800000.0,1500000.0
Soundtrack for a Revolution,Joslyn Barnes,Jon Else,,86,,Bill Guttentag,,English,Bill Guttentag Dan Sturman,"['The Roots', 'John Legend', 'Wyclef Jean']",Jeffrey Doe,Phil Marshall,,,,,
To Save a Life,Jim Britts,C. Clifford Jones,United States,120,2009-11-05,Brian Baugh,Samuel Goldwyn Films,English,Jim Britts,Randy Wayne,Dan O'Brien,Timothy Michael Wynn,New Song Pictures Outreach Films Accelerated Entertainment,,,500000.0,3700000.0
